"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","GOODS","6","0","校验商品库存","0"
"0","","0","ORDER","4","0","校验商品订单状态接口","0"
"0","","0","ORDER","4","0","校验商品物流状态接口","0"
"0","","0","ORDER","7","0","提交订单接口","0"
"0","","0","LOGIN","1","0","用户登录","0"
"0","","0","CART","4","0","购物车删除商品接口","0"
"0","","0","GOODS","5","0","获取商品列表接口","0"
"0","","0","GOODS","5","0","获取商品详细接口","0"
"0","","0","CART","6","0","购物车添加商品接口","0"
"0","","0","ORDER","6","0","订单支付接口","0"
"0","","0","业务流程","1","0","提交订单-支付订单","0"
